,District_Code,Sex,District,Neighborhood,Population,Neighborhood_Code,Academic_Qualification
107,7,Women,Horta-Guinardó,el Guinardó,2717,35,Primary education / certificate of schooling / EGB
108,7,Women,Horta-Guinardó,la Font d'en Fargues,648,36,Primary education / certificate of schooling / EGB
109,7,Women,Horta-Guinardó,el Carmel,3774,37,Primary education / certificate of schooling / EGB
110,7,Women,Horta-Guinardó,la Teixonera,1274,38,Primary education / certificate of schooling / EGB
111,7,Women,Horta-Guinardó,Sant Genís dels Agudells,714,39,Primary education / certificate of schooling / EGB
112,7,Women,Horta-Guinardó,Montbau,455,40,Primary education / certificate of schooling / EGB
113,7,Women,Horta-Guinardó,la Vall d'Hebron,486,41,Primary education / certificate of schooling / EGB
114,7,Women,Horta-Guinardó,la Clota,39,42,Primary education / certificate of schooling / EGB
115,7,Women,Horta-Guinardó,Horta,2716,43,Primary education / certificate of schooling / EGB
116,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,2554,44,Primary education / certificate of schooling / EGB
117,8,Women,Nou Barris,Porta,3124,45,Primary education / certificate of schooling / EGB
118,8,Women,Nou Barris,el Turó de la Peira,1893,46,Primary education / certificate of schooling / EGB
119,8,Women,Nou Barris,Can Peguera,323,47,Primary education / certificate of schooling / EGB
120,8,Women,Nou Barris,la Guineueta,1745,48,Primary education / certificate of schooling / EGB
121,8,Women,Nou Barris,Canyelles,951,49,Primary education / certificate of schooling / EGB
122,8,Women,Nou Barris,les Roquetes,2169,50,Primary education / certificate of schooling / EGB
123,8,Women,Nou Barris,Verdun,1643,51,Primary education / certificate of schooling / EGB
124,8,Women,Nou Barris,la Prosperitat,3398,52,Primary education / certificate of schooling / EGB
125,8,Women,Nou Barris,la Trinitat Nova,1018,53,Primary education / certificate of schooling / EGB
126,8,Women,Nou Barris,Torre Baró,395,54,Primary education / certificate of schooling / EGB
127,8,Women,Nou Barris,Ciutat Meridiana,1651,55,Primary education / certificate of schooling / EGB
128,8,Women,Nou Barris,Vallbona,204,56,Primary education / certificate of schooling / EGB
129,9,Women,Sant Andreu,la Trinitat Vella,1357,57,Primary education / certificate of schooling / EGB
130,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,225,8,No records
131,9,Women,Sant Andreu,Baró de Viver,376,58,Primary education / certificate of schooling / EGB
132,9,Women,Sant Andreu,el Bon Pastor,1516,59,Primary education / certificate of schooling / EGB
133,9,Women,Sant Andreu,Sant Andreu,5001,60,Primary education / certificate of schooling / EGB
134,9,Women,Sant Andreu,la Sagrera,2686,61,Primary education / certificate of schooling / EGB
135,9,Women,Sant Andreu,el Congrés i els Indians,1159,62,Primary education / certificate of schooling / EGB
136,9,Women,Sant Andreu,Navas,1943,63,Primary education / certificate of schooling / EGB
137,10,Women,Sant Martí,el Camp de l'Arpa del Clot,3084,64,Primary education / certificate of schooling / EGB
138,10,Women,Sant Martí,el Clot,2207,65,Primary education / certificate of schooling / EGB
139,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,1110,66,Primary education / certificate of schooling / EGB
