,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Five-Year_Age,Nationality
3384,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,176,20-24 years,Foreign
3385,6,Women,Gràcia,Vallcarca i els Penitents,28,99,20-24 years,Foreign
3386,6,Women,Gràcia,el Coll,29,51,20-24 years,Foreign
3387,6,Women,Gràcia,la Salut,30,66,20-24 years,Foreign
3388,6,Women,Gràcia,la Vila de Gràcia,31,508,20-24 years,Foreign
3389,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,236,20-24 years,Foreign
3390,7,Women,Horta-Guinardó,el Baix Guinardó,33,167,20-24 years,Foreign
3391,7,Women,Horta-Guinardó,Can Baró,34,55,20-24 years,Foreign
3392,7,Women,Horta-Guinardó,el Guinardó,35,236,20-24 years,Foreign
3393,7,Women,Horta-Guinardó,la Font d'en Fargues,36,30,20-24 years,Foreign
3394,7,Women,Horta-Guinardó,el Carmel,37,268,20-24 years,Foreign
3395,7,Women,Horta-Guinardó,la Teixonera,38,91,20-24 years,Foreign
3396,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,49,20-24 years,Foreign
3397,7,Women,Horta-Guinardó,Montbau,40,35,20-24 years,Foreign
3398,7,Women,Horta-Guinardó,la Vall d'Hebron,41,26,20-24 years,Foreign
3399,7,Women,Horta-Guinardó,la Clota,42,3,20-24 years,Foreign
3400,7,Women,Horta-Guinardó,Horta,43,245,20-24 years,Foreign
3401,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,187,20-24 years,Foreign
3402,8,Women,Nou Barris,Porta,45,336,20-24 years,Foreign
3403,8,Women,Nou Barris,el Turó de la Peira,46,167,20-24 years,Foreign
3404,8,Women,Nou Barris,Can Peguera,47,10,20-24 years,Foreign
3405,8,Women,Nou Barris,la Guineueta,48,83,20-24 years,Foreign
3406,8,Women,Nou Barris,Canyelles,49,19,20-24 years,Foreign
3407,8,Women,Nou Barris,les Roquetes,50,181,20-24 years,Foreign
3408,8,Women,Nou Barris,Verdun,51,147,20-24 years,Foreign
3409,8,Women,Nou Barris,la Prosperitat,52,209,20-24 years,Foreign
3410,8,Women,Nou Barris,la Trinitat Nova,53,79,20-24 years,Foreign
3411,8,Women,Nou Barris,Torre Baró,54,27,20-24 years,Foreign
3412,8,Women,Nou Barris,Ciutat Meridiana,55,159,20-24 years,Foreign
3413,8,Women,Nou Barris,Vallbona,56,10,20-24 years,Foreign
3414,9,Women,Sant Andreu,la Trinitat Vella,57,122,20-24 years,Foreign
3415,9,Women,Sant Andreu,Baró de Viver,58,13,20-24 years,Foreign
3416,9,Women,Sant Andreu,el Bon Pastor,59,106,20-24 years,Foreign
3417,9,Women,Sant Andreu,Sant Andreu,60,215,20-24 years,Foreign
3418,9,Women,Sant Andreu,la Sagrera,61,184,20-24 years,Foreign
3419,9,Women,Sant Andreu,el Congrés i els Indians,62,82,20-24 years,Foreign
3420,9,Women,Sant Andreu,Navas,63,151,20-24 years,Foreign
3421,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,347,20-24 years,Foreign
3422,10,Women,Sant Martí,el Clot,65,194,20-24 years,Foreign
3423,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,172,20-24 years,Foreign
3424,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,36,20-24 years,Foreign
3425,10,Women,Sant Martí,el Poblenou,68,192,20-24 years,Foreign
3426,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,60,20-24 years,Foreign
3427,10,Women,Sant Martí,el Besòs i el Maresme,70,277,20-24 years,Foreign
3428,10,Women,Sant Martí,Provençals del Poblenou,71,123,20-24 years,Foreign
3429,10,Women,Sant Martí,Sant Martí de Provençals,72,166,20-24 years,Foreign
3430,10,Women,Sant Martí,la Verneda i la Pau,73,179,20-24 years,Foreign
3431,1,Women,Ciutat Vella,el Raval,1,1991,25-29 years,Foreign
3432,1,Women,Ciutat Vella,el Barri Gòtic,2,1106,25-29 years,Foreign
3433,1,Women,Ciutat Vella,la Barceloneta,3,736,25-29 years,Foreign
3434,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,1147,25-29 years,Foreign
3435,2,Women,Eixample,el Fort Pienc,5,835,25-29 years,Foreign
3436,2,Women,Eixample,la Sagrada Família,6,1269,25-29 years,Foreign
3437,2,Women,Eixample,la Dreta de l'Eixample,7,1176,25-29 years,Foreign
3438,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,1234,25-29 years,Foreign
3439,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,1313,25-29 years,Foreign
3440,2,Women,Eixample,Sant Antoni,10,948,25-29 years,Foreign
3441,3,Women,Sants-Montjuïc,el Poble Sec,11,1110,25-29 years,Foreign
3442,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,9,25-29 years,Foreign
3443,3,Women,Sants-Montjuïc,la Marina de Port,13,319,25-29 years,Foreign
3444,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,217,25-29 years,Foreign
3445,3,Women,Sants-Montjuïc,Hostafrancs,15,421,25-29 years,Foreign
3446,3,Women,Sants-Montjuïc,la Bordeta,16,226,25-29 years,Foreign
3447,3,Women,Sants-Montjuïc,Sants - Badal,17,444,25-29 years,Foreign
3448,3,Women,Sants-Montjuïc,Sants,18,799,25-29 years,Foreign
3449,4,Women,Les Corts,les Corts,19,500,25-29 years,Foreign
3450,4,Women,Les Corts,la Maternitat i Sant Ramon,20,307,25-29 years,Foreign
3451,4,Women,Les Corts,Pedralbes,21,81,25-29 years,Foreign
3452,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,22,25-29 years,Foreign
3453,5,Women,Sarrià-Sant Gervasi,Sarrià,23,151,25-29 years,Foreign
3454,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,70,25-29 years,Foreign
3455,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,241,25-29 years,Foreign
3456,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,532,25-29 years,Foreign
3457,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,436,25-29 years,Foreign
3458,6,Women,Gràcia,Vallcarca i els Penitents,28,185,25-29 years,Foreign
3459,6,Women,Gràcia,el Coll,29,111,25-29 years,Foreign
3460,6,Women,Gràcia,la Salut,30,182,25-29 years,Foreign
3461,6,Women,Gràcia,la Vila de Gràcia,31,1305,25-29 years,Foreign
3462,1,Women,Ciutat Vella,el Raval,1,926,40-44 years,Foreign
3463,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,564,25-29 years,Foreign
3464,7,Women,Horta-Guinardó,el Baix Guinardó,33,346,25-29 years,Foreign
3465,7,Women,Horta-Guinardó,Can Baró,34,142,25-29 years,Foreign
3466,7,Women,Horta-Guinardó,el Guinardó,35,492,25-29 years,Foreign
3467,7,Women,Horta-Guinardó,la Font d'en Fargues,36,61,25-29 years,Foreign
3468,7,Women,Horta-Guinardó,el Carmel,37,405,25-29 years,Foreign
3469,7,Women,Horta-Guinardó,la Teixonera,38,165,25-29 years,Foreign
3470,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,83,25-29 years,Foreign
3471,7,Women,Horta-Guinardó,Montbau,40,75,25-29 years,Foreign
3472,7,Women,Horta-Guinardó,la Vall d'Hebron,41,43,25-29 years,Foreign
3473,7,Women,Horta-Guinardó,la Clota,42,6,25-29 years,Foreign
3474,7,Women,Horta-Guinardó,Horta,43,311,25-29 years,Foreign
3475,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,287,25-29 years,Foreign
3476,8,Women,Nou Barris,Porta,45,490,25-29 years,Foreign
3477,8,Women,Nou Barris,el Turó de la Peira,46,277,25-29 years,Foreign
3478,8,Women,Nou Barris,Can Peguera,47,11,25-29 years,Foreign
3479,8,Women,Nou Barris,la Guineueta,48,146,25-29 years,Foreign
3480,8,Women,Nou Barris,Canyelles,49,31,25-29 years,Foreign
3481,8,Women,Nou Barris,les Roquetes,50,298,25-29 years,Foreign
3482,8,Women,Nou Barris,Verdun,51,202,25-29 years,Foreign
3483,8,Women,Nou Barris,la Prosperitat,52,327,25-29 years,Foreign
3484,8,Women,Nou Barris,la Trinitat Nova,53,119,25-29 years,Foreign
3485,8,Women,Nou Barris,Torre Baró,54,24,25-29 years,Foreign
3486,8,Women,Nou Barris,Ciutat Meridiana,55,227,25-29 years,Foreign
3487,8,Women,Nou Barris,Vallbona,56,12,25-29 years,Foreign
3488,9,Women,Sant Andreu,la Trinitat Vella,57,165,25-29 years,Foreign
3489,9,Women,Sant Andreu,Baró de Viver,58,23,25-29 years,Foreign
3490,9,Women,Sant Andreu,el Bon Pastor,59,182,25-29 years,Foreign
3491,9,Women,Sant Andreu,Sant Andreu,60,368,25-29 years,Foreign
3492,9,Women,Sant Andreu,la Sagrera,61,353,25-29 years,Foreign
3493,9,Women,Sant Andreu,el Congrés i els Indians,62,179,25-29 years,Foreign
3494,9,Women,Sant Andreu,Navas,63,287,25-29 years,Foreign
3495,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,703,25-29 years,Foreign
3496,10,Women,Sant Martí,el Clot,65,385,25-29 years,Foreign
3497,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,309,25-29 years,Foreign
3498,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,110,25-29 years,Foreign
3499,10,Women,Sant Martí,el Poblenou,68,518,25-29 years,Foreign
3500,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,112,25-29 years,Foreign
3501,10,Women,Sant Martí,el Besòs i el Maresme,70,432,25-29 years,Foreign
3502,10,Women,Sant Martí,Provençals del Poblenou,71,249,25-29 years,Foreign
