,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Five-Year_Age,Nationality
1366,8,Women,Nou Barris,la Prosperitat,52,199,90-94 years,Spain
1367,8,Women,Nou Barris,la Trinitat Nova,53,81,90-94 years,Spain
1368,8,Women,Nou Barris,Torre Baró,54,11,90-94 years,Spain
1369,8,Women,Nou Barris,Ciutat Meridiana,55,41,90-94 years,Spain
1370,8,Women,Nou Barris,Vallbona,56,20,90-94 years,Spain
1371,9,Women,Sant Andreu,la Trinitat Vella,57,41,90-94 years,Spain
1372,9,Women,Sant Andreu,Baró de Viver,58,18,90-94 years,Spain
1373,9,Women,Sant Andreu,el Bon Pastor,59,68,90-94 years,Spain
1374,9,Women,Sant Andreu,Sant Andreu,60,446,90-94 years,Spain
1375,9,Women,Sant Andreu,la Sagrera,61,217,90-94 years,Spain
1376,9,Women,Sant Andreu,el Congrés i els Indians,62,213,90-94 years,Spain
1377,9,Women,Sant Andreu,Navas,63,203,90-94 years,Spain
1378,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,355,90-94 years,Spain
1379,10,Women,Sant Martí,el Clot,65,198,90-94 years,Spain
1380,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,125,90-94 years,Spain
1381,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,30,90-94 years,Spain
1382,10,Women,Sant Martí,el Poblenou,68,261,90-94 years,Spain
1383,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,47,90-94 years,Spain
1384,10,Women,Sant Martí,el Besòs i el Maresme,70,151,90-94 years,Spain
1385,10,Women,Sant Martí,Provençals del Poblenou,71,126,90-94 years,Spain
1386,10,Women,Sant Martí,Sant Martí de Provençals,72,264,90-94 years,Spain
1387,10,Women,Sant Martí,la Verneda i la Pau,73,243,90-94 years,Spain
1388,1,Women,Ciutat Vella,el Raval,1,59,95-99 years,Spain
1389,1,Women,Ciutat Vella,el Barri Gòtic,2,42,95-99 years,Spain
1390,1,Women,Ciutat Vella,la Barceloneta,3,32,95-99 years,Spain
1391,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,47,95-99 years,Spain
1392,2,Women,Eixample,el Fort Pienc,5,104,95-99 years,Spain
1393,2,Women,Eixample,la Sagrada Família,6,158,95-99 years,Spain
1394,2,Women,Eixample,la Dreta de l'Eixample,7,205,95-99 years,Spain
1395,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,155,95-99 years,Spain
1396,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,196,95-99 years,Spain
1397,2,Women,Eixample,Sant Antoni,10,145,95-99 years,Spain
1398,3,Women,Sants-Montjuïc,el Poble Sec,11,68,95-99 years,Spain
1399,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,2,95-99 years,Spain
1400,3,Women,Sants-Montjuïc,la Marina de Port,13,38,95-99 years,Spain
1401,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,37,95-99 years,Spain
1402,3,Women,Sants-Montjuïc,Hostafrancs,15,25,95-99 years,Spain
1403,3,Women,Sants-Montjuïc,la Bordeta,16,55,95-99 years,Spain
1404,3,Women,Sants-Montjuïc,Sants - Badal,17,45,95-99 years,Spain
1405,3,Women,Sants-Montjuïc,Sants,18,107,95-99 years,Spain
1406,4,Women,Les Corts,la Maternitat i Sant Ramon,20,56,95-99 years,Spain
1407,4,Women,Les Corts,Pedralbes,21,46,95-99 years,Spain
1408,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,10,95-99 years,Spain
1409,5,Women,Sarrià-Sant Gervasi,Sarrià,23,104,95-99 years,Spain
1410,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,55,95-99 years,Spain
1411,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,105,95-99 years,Spain
1412,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,196,95-99 years,Spain
1413,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,95,95-99 years,Spain
1414,6,Women,Gràcia,Vallcarca i els Penitents,28,58,95-99 years,Spain
1415,6,Women,Gràcia,el Coll,29,15,95-99 years,Spain
1416,6,Women,Gràcia,la Salut,30,41,95-99 years,Spain
1417,6,Women,Gràcia,la Vila de Gràcia,31,179,95-99 years,Spain
1418,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,108,95-99 years,Spain
1419,7,Women,Horta-Guinardó,el Baix Guinardó,33,115,95-99 years,Spain
1420,7,Women,Horta-Guinardó,Can Baró,34,25,95-99 years,Spain
1421,7,Women,Horta-Guinardó,el Guinardó,35,93,95-99 years,Spain
1422,7,Women,Horta-Guinardó,la Font d'en Fargues,36,34,95-99 years,Spain
1423,7,Women,Horta-Guinardó,el Carmel,37,53,95-99 years,Spain
1424,7,Women,Horta-Guinardó,la Teixonera,38,23,95-99 years,Spain
1425,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,16,95-99 years,Spain
1426,7,Women,Horta-Guinardó,Montbau,40,34,95-99 years,Spain
1427,7,Women,Horta-Guinardó,la Vall d'Hebron,41,24,95-99 years,Spain
1428,7,Women,Horta-Guinardó,la Clota,42,3,95-99 years,Spain
1429,7,Women,Horta-Guinardó,Horta,43,77,95-99 years,Spain
1430,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,92,95-99 years,Spain
1431,8,Women,Nou Barris,Porta,45,63,95-99 years,Spain
1432,8,Women,Nou Barris,el Turó de la Peira,46,44,95-99 years,Spain
1433,8,Women,Nou Barris,Can Peguera,47,6,95-99 years,Spain
1434,8,Women,Nou Barris,la Guineueta,48,40,95-99 years,Spain
1435,8,Women,Nou Barris,Canyelles,49,14,95-99 years,Spain
1436,8,Women,Nou Barris,les Roquetes,50,17,95-99 years,Spain
1437,8,Women,Nou Barris,Verdun,51,24,95-99 years,Spain
1438,8,Women,Nou Barris,la Prosperitat,52,50,95-99 years,Spain
1439,8,Women,Nou Barris,la Trinitat Nova,53,17,95-99 years,Spain
1440,8,Women,Nou Barris,Torre Baró,54,2,95-99 years,Spain
1441,8,Women,Nou Barris,Ciutat Meridiana,55,4,95-99 years,Spain
1442,8,Women,Nou Barris,Vallbona,56,4,95-99 years,Spain
1443,9,Women,Sant Andreu,la Trinitat Vella,57,9,95-99 years,Spain
1444,9,Women,Sant Andreu,Baró de Viver,58,5,95-99 years,Spain
1445,9,Women,Sant Andreu,el Bon Pastor,59,15,95-99 years,Spain
1446,9,Women,Sant Andreu,Sant Andreu,60,122,95-99 years,Spain
1447,9,Women,Sant Andreu,la Sagrera,61,63,95-99 years,Spain
1448,9,Women,Sant Andreu,el Congrés i els Indians,62,47,95-99 years,Spain
1449,9,Women,Sant Andreu,Navas,63,58,95-99 years,Spain
1450,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,107,95-99 years,Spain
1451,10,Women,Sant Martí,el Clot,65,54,95-99 years,Spain
1452,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,35,95-99 years,Spain
1453,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,11,95-99 years,Spain
1454,10,Women,Sant Martí,el Poblenou,68,87,95-99 years,Spain
1455,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,14,95-99 years,Spain
1456,10,Women,Sant Martí,el Besòs i el Maresme,70,32,95-99 years,Spain
1457,10,Women,Sant Martí,Provençals del Poblenou,71,26,95-99 years,Spain
1458,10,Women,Sant Martí,Sant Martí de Provençals,72,58,95-99 years,Spain
1459,10,Women,Sant Martí,la Verneda i la Pau,73,72,95-99 years,Spain
1460,1,Women,Ciutat Vella,el Raval,1,9,100 years or older,Spain
1461,1,Women,Ciutat Vella,el Barri Gòtic,2,5,100 years or older,Spain
1462,1,Women,Ciutat Vella,la Barceloneta,3,5,100 years or older,Spain
1463,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,6,100 years or older,Spain
1464,2,Women,Eixample,el Fort Pienc,5,13,100 years or older,Spain
1465,2,Women,Eixample,la Sagrada Família,6,29,100 years or older,Spain
1466,2,Women,Eixample,la Dreta de l'Eixample,7,36,100 years or older,Spain
1467,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,39,100 years or older,Spain
1468,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,33,100 years or older,Spain
1469,2,Women,Eixample,Sant Antoni,10,25,100 years or older,Spain
1470,3,Women,Sants-Montjuïc,el Poble Sec,11,12,100 years or older,Spain
1471,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,0,100 years or older,Spain
1472,3,Women,Sants-Montjuïc,la Marina de Port,13,8,100 years or older,Spain
1473,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,10,100 years or older,Spain
1474,3,Women,Sants-Montjuïc,Hostafrancs,15,5,100 years or older,Spain
1475,3,Women,Sants-Montjuïc,la Bordeta,16,9,100 years or older,Spain
1476,3,Women,Sants-Montjuïc,Sants - Badal,17,5,100 years or older,Spain
1477,3,Women,Sants-Montjuïc,Sants,18,15,100 years or older,Spain
1478,4,Women,Les Corts,les Corts,19,27,100 years or older,Spain
1479,4,Women,Les Corts,la Maternitat i Sant Ramon,20,15,100 years or older,Spain
1480,4,Women,Les Corts,Pedralbes,21,8,100 years or older,Spain
1481,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,2,100 years or older,Spain
1482,5,Women,Sarrià-Sant Gervasi,Sarrià,23,29,100 years or older,Spain
1483,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,15,100 years or older,Spain
1484,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,19,100 years or older,Spain
1485,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,44,100 years or older,Spain
1486,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,18,100 years or older,Spain
1487,6,Women,Gràcia,Vallcarca i els Penitents,28,12,100 years or older,Spain
1488,6,Women,Gràcia,el Coll,29,4,100 years or older,Spain
1489,6,Women,Gràcia,la Salut,30,9,100 years or older,Spain
1490,6,Women,Gràcia,la Vila de Gràcia,31,17,100 years or older,Spain
1491,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,15,100 years or older,Spain
1492,7,Women,Horta-Guinardó,el Baix Guinardó,33,18,100 years or older,Spain
1493,7,Women,Horta-Guinardó,Can Baró,34,4,100 years or older,Spain
1494,7,Women,Horta-Guinardó,el Guinardó,35,15,100 years or older,Spain
1495,7,Women,Horta-Guinardó,la Font d'en Fargues,36,11,100 years or older,Spain
1496,7,Women,Horta-Guinardó,el Carmel,37,3,100 years or older,Spain
1497,7,Women,Horta-Guinardó,la Teixonera,38,4,100 years or older,Spain
1498,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,4,100 years or older,Spain
1499,7,Women,Horta-Guinardó,Montbau,40,5,100 years or older,Spain
1500,7,Women,Horta-Guinardó,la Vall d'Hebron,41,3,100 years or older,Spain
1501,7,Women,Horta-Guinardó,la Clota,42,0,100 years or older,Spain
1502,7,Women,Horta-Guinardó,Horta,43,7,100 years or older,Spain
1503,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,9,100 years or older,Spain
1504,8,Women,Nou Barris,Porta,45,7,100 years or older,Spain
1505,8,Women,Nou Barris,el Turó de la Peira,46,2,100 years or older,Spain
1506,8,Women,Nou Barris,Can Peguera,47,0,100 years or older,Spain
1507,8,Women,Nou Barris,la Guineueta,48,4,100 years or older,Spain
1508,8,Women,Nou Barris,Canyelles,49,0,100 years or older,Spain
1509,8,Women,Nou Barris,les Roquetes,50,1,100 years or older,Spain
1510,8,Women,Nou Barris,Verdun,51,8,100 years or older,Spain
1511,8,Women,Nou Barris,la Prosperitat,52,8,100 years or older,Spain
1512,8,Women,Nou Barris,la Trinitat Nova,53,2,100 years or older,Spain
1513,8,Women,Nou Barris,Torre Baró,54,2,100 years or older,Spain
1514,8,Women,Nou Barris,Ciutat Meridiana,55,0,100 years or older,Spain
1515,8,Women,Nou Barris,Vallbona,56,2,100 years or older,Spain
1516,9,Women,Sant Andreu,la Trinitat Vella,57,2,100 years or older,Spain
1517,9,Women,Sant Andreu,Baró de Viver,58,0,100 years or older,Spain
1518,9,Women,Sant Andreu,el Bon Pastor,59,2,100 years or older,Spain
1519,9,Women,Sant Andreu,Sant Andreu,60,15,100 years or older,Spain
1520,9,Women,Sant Andreu,la Sagrera,61,12,100 years or older,Spain
1521,9,Women,Sant Andreu,el Congrés i els Indians,62,5,100 years or older,Spain
1522,9,Women,Sant Andreu,Navas,63,7,100 years or older,Spain
1523,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,19,100 years or older,Spain
1524,10,Women,Sant Martí,el Clot,65,6,100 years or older,Spain
1525,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,8,100 years or older,Spain
1526,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,1,100 years or older,Spain
1527,10,Women,Sant Martí,el Poblenou,68,8,100 years or older,Spain
1528,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,2,100 years or older,Spain
1529,10,Women,Sant Martí,el Besòs i el Maresme,70,7,100 years or older,Spain
1530,10,Women,Sant Martí,Provençals del Poblenou,71,3,100 years or older,Spain
1531,10,Women,Sant Martí,Sant Martí de Provençals,72,6,100 years or older,Spain
1532,10,Women,Sant Martí,la Verneda i la Pau,73,11,100 years or older,Spain
1533,1,Men,Ciutat Vella,el Raval,1,407,0-4 years,Spain
1534,1,Men,Ciutat Vella,el Barri Gòtic,2,123,0-4 years,Spain
1535,1,Men,Ciutat Vella,la Barceloneta,3,118,0-4 years,Spain
1536,1,Men,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,227,0-4 years,Spain
1537,2,Men,Eixample,el Fort Pienc,5,446,0-4 years,Spain
1538,2,Men,Eixample,la Sagrada Família,6,680,0-4 years,Spain
1539,2,Men,Eixample,la Dreta de l'Eixample,7,642,0-4 years,Spain
1540,2,Men,Eixample,l'Antiga Esquerra de l'Eixample,8,600,0-4 years,Spain
1541,2,Men,Eixample,la Nova Esquerra de l'Eixample,9,847,0-4 years,Spain
1542,2,Men,Eixample,Sant Antoni,10,556,0-4 years,Spain
1543,3,Men,Sants-Montjuïc,el Poble Sec,11,448,0-4 years,Spain
1544,3,Men,Sants-Montjuïc,la Marina del Prat Vermell,12,33,0-4 years,Spain
1545,3,Men,Sants-Montjuïc,la Marina de Port,13,485,0-4 years,Spain
1546,3,Men,Sants-Montjuïc,la Font de la Guatlla,14,135,0-4 years,Spain
1547,3,Men,Sants-Montjuïc,Hostafrancs,15,238,0-4 years,Spain
1548,3,Men,Sants-Montjuïc,la Bordeta,16,350,0-4 years,Spain
1549,3,Men,Sants-Montjuïc,Sants - Badal,17,373,0-4 years,Spain
1550,3,Men,Sants-Montjuïc,Sants,18,671,0-4 years,Spain
1551,4,Men,Les Corts,les Corts,19,847,0-4 years,Spain
1552,4,Men,Les Corts,la Maternitat i Sant Ramon,20,390,0-4 years,Spain
1553,4,Men,Les Corts,Pedralbes,21,169,0-4 years,Spain
1554,5,Men,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,106,0-4 years,Spain
1555,5,Men,Sarrià-Sant Gervasi,Sarrià,23,492,0-4 years,Spain
1556,5,Men,Sarrià-Sant Gervasi,les Tres Torres,24,342,0-4 years,Spain
1557,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,483,0-4 years,Spain
1558,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,880,0-4 years,Spain
1559,5,Men,Sarrià-Sant Gervasi,el Putxet i el Farró,27,580,0-4 years,Spain
1560,6,Men,Gràcia,Vallcarca i els Penitents,28,245,0-4 years,Spain
1561,6,Men,Gràcia,el Coll,29,111,0-4 years,Spain
1562,6,Men,Gràcia,la Salut,30,222,0-4 years,Spain
1563,6,Men,Gràcia,la Vila de Gràcia,31,888,0-4 years,Spain
1564,6,Men,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,581,0-4 years,Spain
1565,7,Men,Horta-Guinardó,el Baix Guinardó,33,395,0-4 years,Spain
1566,7,Men,Horta-Guinardó,Can Baró,34,141,0-4 years,Spain
1567,7,Men,Horta-Guinardó,el Guinardó,35,607,0-4 years,Spain
1568,7,Men,Horta-Guinardó,la Font d'en Fargues,36,154,0-4 years,Spain
1569,7,Men,Horta-Guinardó,el Carmel,37,451,0-4 years,Spain
1570,7,Men,Horta-Guinardó,la Teixonera,38,172,0-4 years,Spain
1571,7,Men,Horta-Guinardó,Sant Genís dels Agudells,39,118,0-4 years,Spain
1572,7,Men,Horta-Guinardó,Montbau,40,81,0-4 years,Spain
1573,7,Men,Horta-Guinardó,la Vall d'Hebron,41,97,0-4 years,Spain
1574,7,Men,Horta-Guinardó,la Clota,42,26,0-4 years,Spain
1575,7,Men,Horta-Guinardó,Horta,43,425,0-4 years,Spain
1576,8,Men,Nou Barris,Vilapicina i la Torre Llobeta,44,349,0-4 years,Spain
1577,8,Men,Nou Barris,Porta,45,376,0-4 years,Spain
1578,8,Men,Nou Barris,el Turó de la Peira,46,272,0-4 years,Spain
1579,8,Men,Nou Barris,Can Peguera,47,30,0-4 years,Spain
1580,8,Men,Nou Barris,la Guineueta,48,250,0-4 years,Spain
1581,8,Men,Nou Barris,Canyelles,49,111,0-4 years,Spain
1582,8,Men,Nou Barris,les Roquetes,50,254,0-4 years,Spain
1583,8,Men,Nou Barris,Verdun,51,185,0-4 years,Spain
1584,8,Men,Nou Barris,la Prosperitat,52,385,0-4 years,Spain
1585,8,Men,Nou Barris,la Trinitat Nova,53,107,0-4 years,Spain
1586,8,Men,Nou Barris,Torre Baró,54,61,0-4 years,Spain
1587,8,Men,Nou Barris,Ciutat Meridiana,55,187,0-4 years,Spain
1588,8,Men,Nou Barris,Vallbona,56,22,0-4 years,Spain
1589,9,Men,Sant Andreu,la Trinitat Vella,57,173,0-4 years,Spain
1590,9,Men,Sant Andreu,Baró de Viver,58,54,0-4 years,Spain
1591,9,Men,Sant Andreu,el Bon Pastor,59,247,0-4 years,Spain
1592,9,Men,Sant Andreu,Sant Andreu,60,1113,0-4 years,Spain
1593,9,Men,Sant Andreu,la Sagrera,61,532,0-4 years,Spain
1594,9,Men,Sant Andreu,el Congrés i els Indians,62,236,0-4 years,Spain
1595,9,Men,Sant Andreu,Navas,63,357,0-4 years,Spain
1596,10,Men,Sant Martí,el Camp de l'Arpa del Clot,64,566,0-4 years,Spain
1597,10,Men,Sant Martí,el Clot,65,436,0-4 years,Spain
1598,10,Men,Sant Martí,el Parc i la Llacuna del Poblenou,66,292,0-4 years,Spain
1599,10,Men,Sant Martí,la Vila Olímpica del Poblenou,67,145,0-4 years,Spain
1600,10,Men,Sant Martí,el Poblenou,68,643,0-4 years,Spain
1601,10,Men,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,325,0-4 years,Spain
1602,10,Men,Sant Martí,el Besòs i el Maresme,70,280,0-4 years,Spain
1603,10,Men,Sant Martí,Provençals del Poblenou,71,418,0-4 years,Spain
1604,10,Men,Sant Martí,Sant Martí de Provençals,72,378,0-4 years,Spain
1605,10,Men,Sant Martí,la Verneda i la Pau,73,434,0-4 years,Spain
1606,1,Men,Ciutat Vella,el Raval,1,559,5-9 years,Spain
1607,1,Men,Ciutat Vella,el Barri Gòtic,2,137,5-9 years,Spain
1608,1,Men,Ciutat Vella,la Barceloneta,3,129,5-9 years,Spain
1609,1,Men,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,229,5-9 years,Spain
1610,2,Men,Eixample,el Fort Pienc,5,508,5-9 years,Spain
1611,2,Men,Eixample,la Sagrada Família,6,717,5-9 years,Spain
1612,2,Men,Eixample,la Dreta de l'Eixample,7,676,5-9 years,Spain
1613,2,Men,Eixample,l'Antiga Esquerra de l'Eixample,8,610,5-9 years,Spain
1614,2,Men,Eixample,la Nova Esquerra de l'Eixample,9,837,5-9 years,Spain
1615,2,Men,Eixample,Sant Antoni,10,568,5-9 years,Spain
1616,3,Men,Sants-Montjuïc,el Poble Sec,11,545,5-9 years,Spain
1617,3,Men,Sants-Montjuïc,la Marina del Prat Vermell,12,21,5-9 years,Spain
1618,3,Men,Sants-Montjuïc,la Marina de Port,13,544,5-9 years,Spain
1619,3,Men,Sants-Montjuïc,la Font de la Guatlla,14,137,5-9 years,Spain
1620,3,Men,Sants-Montjuïc,Hostafrancs,15,245,5-9 years,Spain
1621,3,Men,Sants-Montjuïc,la Bordeta,16,328,5-9 years,Spain
1622,3,Men,Sants-Montjuïc,Sants - Badal,17,342,5-9 years,Spain
1623,3,Men,Sants-Montjuïc,Sants,18,661,5-9 years,Spain
1624,4,Men,Les Corts,les Corts,19,846,5-9 years,Spain
1625,4,Men,Les Corts,la Maternitat i Sant Ramon,20,457,5-9 years,Spain
1626,4,Men,Les Corts,Pedralbes,21,263,5-9 years,Spain
1627,5,Men,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,138,5-9 years,Spain
1628,5,Men,Sarrià-Sant Gervasi,Sarrià,23,691,5-9 years,Spain
1629,5,Men,Sarrià-Sant Gervasi,les Tres Torres,24,448,5-9 years,Spain
1630,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,615,5-9 years,Spain
1631,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,936,5-9 years,Spain
1632,5,Men,Sarrià-Sant Gervasi,el Putxet i el Farró,27,608,5-9 years,Spain
1633,6,Men,Gràcia,Vallcarca i els Penitents,28,318,5-9 years,Spain
1634,6,Men,Gràcia,el Coll,29,149,5-9 years,Spain
1635,6,Men,Gràcia,la Salut,30,258,5-9 years,Spain
1636,6,Men,Gràcia,la Vila de Gràcia,31,817,5-9 years,Spain
1637,6,Men,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,584,5-9 years,Spain
1638,7,Men,Horta-Guinardó,el Baix Guinardó,33,426,5-9 years,Spain
1639,7,Men,Horta-Guinardó,Can Baró,34,135,5-9 years,Spain
1640,7,Men,Horta-Guinardó,el Guinardó,35,656,5-9 years,Spain
1641,7,Men,Horta-Guinardó,la Font d'en Fargues,36,202,5-9 years,Spain
1642,7,Men,Horta-Guinardó,el Carmel,37,582,5-9 years,Spain
1643,7,Men,Horta-Guinardó,la Teixonera,38,196,5-9 years,Spain
1644,7,Men,Horta-Guinardó,Sant Genís dels Agudells,39,117,5-9 years,Spain
1645,7,Men,Horta-Guinardó,Montbau,40,85,5-9 years,Spain
1646,7,Men,Horta-Guinardó,la Vall d'Hebron,41,98,5-9 years,Spain
1647,7,Men,Horta-Guinardó,la Clota,42,24,5-9 years,Spain
1648,7,Men,Horta-Guinardó,Horta,43,505,5-9 years,Spain
1649,8,Men,Nou Barris,Vilapicina i la Torre Llobeta,44,428,5-9 years,Spain
1650,8,Men,Nou Barris,Porta,45,417,5-9 years,Spain
1651,8,Men,Nou Barris,el Turó de la Peira,46,275,5-9 years,Spain
1652,8,Men,Nou Barris,Can Peguera,47,47,5-9 years,Spain
1653,8,Men,Nou Barris,la Guineueta,48,283,5-9 years,Spain
1654,8,Men,Nou Barris,Canyelles,49,125,5-9 years,Spain
1655,8,Men,Nou Barris,les Roquetes,50,293,5-9 years,Spain
1656,8,Men,Nou Barris,Verdun,51,201,5-9 years,Spain
1657,8,Men,Nou Barris,la Prosperitat,52,449,5-9 years,Spain
1658,8,Men,Nou Barris,la Trinitat Nova,53,130,5-9 years,Spain
1659,8,Men,Nou Barris,Torre Baró,54,69,5-9 years,Spain
1660,8,Men,Nou Barris,Ciutat Meridiana,55,200,5-9 years,Spain
1661,8,Men,Nou Barris,Vallbona,56,36,5-9 years,Spain
1662,9,Men,Sant Andreu,la Trinitat Vella,57,205,5-9 years,Spain
1663,9,Men,Sant Andreu,Baró de Viver,58,57,5-9 years,Spain
1664,9,Men,Sant Andreu,el Bon Pastor,59,336,5-9 years,Spain
1665,9,Men,Sant Andreu,Sant Andreu,60,1240,5-9 years,Spain
1666,9,Men,Sant Andreu,la Sagrera,61,539,5-9 years,Spain
1667,9,Men,Sant Andreu,el Congrés i els Indians,62,267,5-9 years,Spain
1668,9,Men,Sant Andreu,Navas,63,360,5-9 years,Spain
1669,10,Men,Sant Martí,el Camp de l'Arpa del Clot,64,574,5-9 years,Spain
1670,10,Men,Sant Martí,el Clot,65,459,5-9 years,Spain
1671,10,Men,Sant Martí,el Parc i la Llacuna del Poblenou,66,260,5-9 years,Spain
1672,10,Men,Sant Martí,la Vila Olímpica del Poblenou,67,190,5-9 years,Spain
1673,10,Men,Sant Martí,el Poblenou,68,734,5-9 years,Spain
1674,10,Men,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,348,5-9 years,Spain
1675,10,Men,Sant Martí,el Besòs i el Maresme,70,429,5-9 years,Spain
1676,10,Men,Sant Martí,Provençals del Poblenou,71,413,5-9 years,Spain
1677,10,Men,Sant Martí,Sant Martí de Provençals,72,476,5-9 years,Spain
1678,10,Men,Sant Martí,la Verneda i la Pau,73,481,5-9 years,Spain
1679,1,Men,Ciutat Vella,el Raval,1,689,10-14 years,Spain
1680,1,Men,Ciutat Vella,el Barri Gòtic,2,151,10-14 years,Spain
1681,1,Men,Ciutat Vella,la Barceloneta,3,150,10-14 years,Spain
1682,1,Men,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,257,10-14 years,Spain
1683,2,Men,Eixample,el Fort Pienc,5,520,10-14 years,Spain
1684,2,Men,Eixample,la Sagrada Família,6,729,10-14 years,Spain
1685,2,Men,Eixample,la Dreta de l'Eixample,7,728,10-14 years,Spain
1686,2,Men,Eixample,l'Antiga Esquerra de l'Eixample,8,680,10-14 years,Spain
1687,2,Men,Eixample,la Nova Esquerra de l'Eixample,9,895,10-14 years,Spain
1688,2,Men,Eixample,Sant Antoni,10,556,10-14 years,Spain
1689,3,Men,Sants-Montjuïc,el Poble Sec,11,577,10-14 years,Spain
1690,3,Men,Sants-Montjuïc,la Marina del Prat Vermell,12,14,10-14 years,Spain
1691,3,Men,Sants-Montjuïc,la Marina de Port,13,680,10-14 years,Spain
1692,3,Men,Sants-Montjuïc,la Font de la Guatlla,14,150,10-14 years,Spain
1693,3,Men,Sants-Montjuïc,Hostafrancs,15,230,10-14 years,Spain
1694,3,Men,Sants-Montjuïc,la Bordeta,16,328,10-14 years,Spain
1695,3,Men,Sants-Montjuïc,Sants - Badal,17,390,10-14 years,Spain
1696,3,Men,Sants-Montjuïc,Sants,18,687,10-14 years,Spain
1697,4,Men,Les Corts,les Corts,19,819,10-14 years,Spain
1698,4,Men,Les Corts,la Maternitat i Sant Ramon,20,433,10-14 years,Spain
1699,4,Men,Les Corts,Pedralbes,21,280,10-14 years,Spain
1700,5,Men,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,141,10-14 years,Spain
1701,5,Men,Sarrià-Sant Gervasi,Sarrià,23,704,10-14 years,Spain
1702,5,Men,Sarrià-Sant Gervasi,les Tres Torres,24,532,10-14 years,Spain
1703,8,Men,Nou Barris,la Prosperitat,52,502,10-14 years,Spain
1704,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,683,10-14 years,Spain
1705,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,1191,10-14 years,Spain
1706,5,Men,Sarrià-Sant Gervasi,el Putxet i el Farró,27,701,10-14 years,Spain
1707,6,Men,Gràcia,Vallcarca i els Penitents,28,375,10-14 years,Spain
1708,6,Men,Gràcia,el Coll,29,160,10-14 years,Spain
1709,6,Men,Gràcia,la Salut,30,244,10-14 years,Spain
