,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Nationality
8105,10,Men,Sant Martí,el Camp de l'Arpa del Clot,64,8,Oceania
8106,10,Men,Sant Martí,el Clot,65,3,Oceania
8107,10,Men,Sant Martí,el Parc i la Llacuna del Poblenou,66,2,Oceania
8108,10,Men,Sant Martí,la Vila Olímpica del Poblenou,67,5,Oceania
8109,10,Men,Sant Martí,el Poblenou,68,14,Oceania
8110,10,Men,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,3,Oceania
8111,10,Men,Sant Martí,el Besòs i el Maresme,70,2,Oceania
8112,10,Men,Sant Martí,Provençals del Poblenou,71,3,Oceania
8113,10,Men,Sant Martí,Sant Martí de Provençals,72,1,Oceania
8114,10,Men,Sant Martí,la Verneda i la Pau,73,1,Oceania
8115,1,Men,Ciutat Vella,el Raval,1,3,Stateless / Not listed
8116,1,Men,Ciutat Vella,el Barri Gòtic,2,5,Stateless / Not listed
8117,1,Men,Ciutat Vella,la Barceloneta,3,1,Stateless / Not listed
8118,1,Men,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,5,Stateless / Not listed
8119,2,Men,Eixample,el Fort Pienc,5,4,Stateless / Not listed
8120,2,Men,Eixample,la Sagrada Família,6,4,Stateless / Not listed
8121,2,Men,Eixample,la Dreta de l'Eixample,7,2,Stateless / Not listed
8122,2,Men,Eixample,l'Antiga Esquerra de l'Eixample,8,6,Stateless / Not listed
8123,2,Men,Eixample,la Nova Esquerra de l'Eixample,9,3,Stateless / Not listed
8124,2,Men,Eixample,Sant Antoni,10,5,Stateless / Not listed
8125,3,Men,Sants-Montjuïc,el Poble Sec,11,2,Stateless / Not listed
8126,3,Men,Sants-Montjuïc,la Marina del Prat Vermell,12,0,Stateless / Not listed
8127,3,Men,Sants-Montjuïc,la Marina de Port,13,1,Stateless / Not listed
8128,3,Men,Sants-Montjuïc,la Font de la Guatlla,14,0,Stateless / Not listed
8129,3,Men,Sants-Montjuïc,Hostafrancs,15,1,Stateless / Not listed
8130,3,Men,Sants-Montjuïc,la Bordeta,16,0,Stateless / Not listed
8131,3,Men,Sants-Montjuïc,Sants - Badal,17,1,Stateless / Not listed
8132,3,Men,Sants-Montjuïc,Sants,18,2,Stateless / Not listed
8133,4,Men,Les Corts,les Corts,19,5,Stateless / Not listed
8134,4,Men,Les Corts,la Maternitat i Sant Ramon,20,0,Stateless / Not listed
8135,4,Men,Les Corts,Pedralbes,21,0,Stateless / Not listed
8136,5,Men,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,0,Stateless / Not listed
8137,5,Men,Sarrià-Sant Gervasi,Sarrià,23,1,Stateless / Not listed
8138,5,Men,Sarrià-Sant Gervasi,les Tres Torres,24,0,Stateless / Not listed
8139,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,0,Stateless / Not listed
8140,9,Men,Sant Andreu,la Trinitat Vella,57,0,Stateless / Not listed
